Chemical compound	Metabolic activity	Microbial species or host cell type
Propanoate (Propionate)	Consumption (import)	Syntrophobacter fumaroxidans
Propanoate (Propionate)	Consumption (import)	Syntrophobotulus glycolicus
Propanoate (Propionate)	Consumption (import) & production (export)	Syntrophomonas wolfei
Propanoate (Propionate)	Consumption (import)	Syntrophothermus lipocalidus
Propanoate (Propionate)	Consumption (import)	Syntrophus aciditrophicus
Propanoate (Propionate)	Production (export)	Veillonella atypica
Propanoate (Propionate)	Production (export)	Veillonella dispar
Propanoate (Propionate)	Production (export)	Veillonella parvula
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Bilophila wadsworthia
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Clostridium kluyveri
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Geobacter metallireducens
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Moorella thermoacetica
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Pelobacter carbinolicus
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Pelobacter propionicus
Propanol (n-propanol, 1-Propanol)	Consumption (import)	Pelotomaculum thermopropionicum
Propanol (n-propanol, 1-Propanol)	Production (export)	Roseburia inulinivorans
Propanol (n-propanol, 1-Propanol)	Production (export)	Salmonella enterica
Putrescine	Production (export)	Bacteroides fragilis
Putrescine	Production (export)	Bacteroides ovatus
Putrescine	Production (export)	Bacteroides thetaiotaomicron
Putrescine	Production (export)	Campylobacter jejuni
Putrescine	Production (export)	Clostridium saccharolyticum
Putrescine	Consumption (import)	Colonocyte (host colon)
Putrescine	Production (export)	Enterobacter cloacae
Putrescine	Production (export)	Escherichia coli
Putrescine	Production (export)	Lactobacillus acidophilus
Putrescine	Consumption (import)	Pseudomonas aeruginosa
Putrescine	Production (export)	Sulfolobus solfataricus
Putrescine	Production (export)	Thermococcus kodakaraensis
Putrescine	Production (export)	Thermus thermophilus
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bacillus subtilis
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Baumannia cicadellinicola
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium adolescentis
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium bifidum
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium breve
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Clostridium tetani
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Colonocyte (host colon)
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Ensifer meliloti (Sinorhizobium meliloti)
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Enterococcus faecalis (Streptococcus faecalis)
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Escherichia coli
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Lactobacillus casei
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Lactobacillus delbrueckii
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Lactobacillus helveticus
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Lactococcus lactis
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Leuconostoc mesenteroides
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Neisseria gonorrhoeae
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Paenibacillus larvae
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Ruminococcus albus
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Ruminococcus bromii
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	Shigella sonnei
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Sphaerobacter thermophilus
Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Production (export)	Streptococcus thermophilus
Pyruvate	Consumption (import)	Acetohalobium arabaticum
Pyruvate	Consumption (import)	Aeromicrobium marinum
Pyruvate	Consumption (import)	Anaerotruncus colihominis
Pyruvate	Production (export)	Bacteroides thetaiotaomicron
Pyruvate	Consumption (import)	Bilophila wadsworthia
Pyruvate	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
Pyruvate	Consumption (import)	Clostridium acetobutylicum
Pyruvate	Production (export)	Clostridium cellulolyticum
Pyruvate	Consumption (import)	Colonocyte (host colon)
Pyruvate	Consumption (import)	Desulfovibrio aespoeensis
Pyruvate	Consumption (import)	Desulfovibrio desulfuricans
Pyruvate	Consumption (import)	Desulfovibrio fructosovorans
Pyruvate	Consumption (import)	Desulfovibrio magneticus
Pyruvate	Consumption (import)	Desulfovibrio piger
Pyruvate	Consumption (import)	Desulfovibrio salexigens
Pyruvate	Consumption (import)	Desulfovibrio vulgaris
Pyruvate	Consumption (import)	Dorea formicigenerans
Pyruvate	Consumption (import)	Geobacter metallireducens
Pyruvate	Consumption (import)	Methanosarcina acetivorans
Pyruvate	Consumption (import)	Methanosarcina barkeri
Pyruvate	Consumption (import)	Methanosarcina mazei
Pyruvate	Consumption (import)	Moorella thermoacetica
Pyruvate	Consumption (import)	Pelobacter propionicus
Pyruvate	Consumption (import)	Pelotomaculum thermopropionicum
Pyruvate	Consumption (import)	Pyrococcus abyssi
Pyruvate	Consumption (import)	Pyrococcus furiosus
Pyruvate	Consumption (import)	Shewanella putrefaciens (Pseudomonas putrefaciens)
Pyruvate	Consumption (import)	Syntrophobacter fumaroxidans
Pyruvate	Consumption (import)	Veillonella parvula
Pyruvate	Consumption (import)	Xanthomonas campestris
Raffinose	Consumption (import)	Aeromonas hydrophila
Raffinose	Consumption (import)	Alistipes shahii
Raffinose	Consumption (import)	Anaerococcus hydrogenalis
Raffinose	Consumption (import)	Anaerococcus prevotii
Raffinose	Consumption (import)	Bacteroides fragilis
Raffinose	Consumption (import)	Bacteroides thetaiotaomicron
Raffinose	Consumption (import)	Bacteroides xylanisolvens
Raffinose	Consumption (import)	Bifidobacterium adolescentis
Raffinose	Consumption (import)	Bifidobacterium angulatum
Raffinose	Consumption (import)	Bifidobacterium animalis
Raffinose	Consumption (import)	Bifidobacterium bifidum
Raffinose	Consumption (import)	Bifidobacterium breve
Raffinose	Consumption (import)	Bifidobacterium catenulatum
Raffinose	Consumption (import)	Bifidobacterium dentium
Raffinose	Consumption (import)	Bifidobacterium gallicum
Raffinose	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Raffinose	Consumption (import)	Bifidobacterium pseudocatenulatum
Raffinose	Consumption (import)	Blautia hansenii
Raffinose	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
Raffinose	Consumption (import)	Butyrivibrio fibrisolvens
Raffinose	Consumption (import)	Butyrivibrio proteoclasticus
Raffinose	Consumption (import)	Clostridium difficile
Raffinose	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
Raffinose	Consumption (import)	Coprococcus comes
Raffinose	Consumption (import)	Coprococcus eutactus
Raffinose	Consumption (import)	Eubacterium rectale
Raffinose	Consumption (import)	Holdemania filiformis
Raffinose	Consumption (import)	Klebsiella pneumoniae
Raffinose	Consumption (import)	Lactobacillus acidophilus
Raffinose	Consumption (import)	Leptotrichia buccalis
Raffinose	Consumption (import)	Marvinbryantia formatexigens
Raffinose	Consumption (import)	Megamonas hypermegale
Raffinose	Consumption (import)	Parabacteroides distasonis
Raffinose	Consumption (import)	Parabacteroides merdae
Raffinose	Consumption (import)	Prevotella copri
Raffinose	Consumption (import)	Roseburia intestinalis
Raffinose	Consumption (import)	Ruminococcus obeum
Raffinose	Consumption (import)	Subdoligranulum variabile
Retinoate	Consumption (import)	Colonocyte (host colon)
Retinol (Vitamin A)	Consumption (import)	Colonocyte (host colon)
Ribitol	Consumption (import)	Colonocyte (host colon)
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Bacillus subtilis
Riboflavin (Vitamin B2)	Production (export)	Baumannia cicadellinicola
Riboflavin (Vitamin B2)	Consumption (import)	Bifidobacterium bifidum
Riboflavin (Vitamin B2)	Consumption (import)	Buchnera aphidicola
Riboflavin (Vitamin B2)	Consumption (import)	Clostridium tetani
Riboflavin (Vitamin B2)	Consumption (import)	Colonocyte (host colon)
Riboflavin (Vitamin B2)	Consumption (import)	Erysipelothrix rhusiopathiae
Riboflavin (Vitamin B2)	Production (export)	Escherichia coli
Riboflavin (Vitamin B2)	Consumption (import)	Faecalibacterium prausnitzii
Riboflavin (Vitamin B2)	Production (export)	Klebsiella pneumoniae
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus acidophilus
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus casei
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus delbrueckii
Riboflavin (Vitamin B2)	Production (export)	Lactobacillus fermentum
Riboflavin (Vitamin B2)	Consumption (import)	Lactobacillus helveticus
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Lactobacillus plantarum
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Lactococcus lactis
Riboflavin (Vitamin B2)	Consumption (import) & production (export)	Leuconostoc mesenteroides
Riboflavin (Vitamin B2)	Consumption (import)	Listeria monocytogenes
Riboflavin (Vitamin B2)	Production (export)	Methanocaldococcus jannaschii
Riboflavin (Vitamin B2)	Consumption (import)	Paenibacillus larvae
Riboflavin (Vitamin B2)	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)
Riboflavin (Vitamin B2)	Consumption (import)	Ruminococcus bromii
Riboflavin (Vitamin B2)	Consumption (import)	Streptococcus pyogenes
Riboflavin (Vitamin B2)	Consumption (import)	Streptococcus salivarius
Riboflavin (Vitamin B2)	Consumption (import)	Streptococcus thermophilus
Shikimate	Consumption (import)	Bacillus megaterium
Spermidine	Production (export)	Bacteroides thetaiotaomicron
Spermidine	Consumption (import) & production (export)	Campylobacter jejuni
Spermidine	Production (export)	Clostridium saccharolyticum
Spermidine	Consumption (import)	Colonocyte (host colon)
Spermidine	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
Spermidine	Production (export)	Thermococcus kodakaraensis
Spermidine	Production (export)	Thermus thermophilus
Spermine	Production (export)	Campylobacter jejuni
Spermine	Production (export)	Clostridium saccharolyticum
Spermine	Consumption (import)	Colonocyte (host colon)
Stachyose	Consumption (import)	Clostridium difficile
Stachyose	Consumption (import)	Klebsiella pneumoniae
Stachyose	Consumption (import)	Marvinbryantia formatexigens
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides eggerthii
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides fragilis
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides ovatus
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides thetaiotaomicron
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bacteroides vulgatus
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium adolescentis
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium angulatum
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium animalis
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium bifidum
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium breve
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium catenulatum
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium dentium
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium gallicum
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Bifidobacterium pseudocatenulatum
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Butyrivibrio crossotus
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Butyrivibrio fibrisolvens
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Butyrivibrio proteoclasticus
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Catenibacterium mitsuokai
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Clostridium butyricum
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Collinsella aerofaciens (Eubacterium aerofaciens)
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Coprococcus eutactus
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Eubacterium rectale
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Eubacterium siraeum
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Flavobacterium johnsoniae
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Holdemania filiformis
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Parabacteroides distasonis
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Prevotella ruminicola (Bacteroides ruminicola)
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Roseburia intestinalis
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Roseburia inulinivorans
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Ruminococcus bromii
Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch)	Macromolecule degradation	Streptococcus bovis (Streptococcus equinus)
Stearic acid (Stearate, Octadecanoate)	Production (export)	Butyrivibrio proteoclasticus
Stearic acid (Stearate, Octadecanoate)	Consumption (import)	Desulfarculus baarsii
Stearic acid (Stearate, Octadecanoate)	Consumption (import)	Syntrophomonas wolfei
Succinate	Production (export)	Actinobacillus succinogenes
Succinate	Consumption (import)	Aeromicrobium marinum
Succinate	Production (export)	Alistipes putredinis
Succinate	Production (export)	Alistipes shahii
Succinate	Production (export)	Anaerostipes caccae
Succinate	Consumption (import)	Bacillus subtilis
Succinate	Production (export)	Bacteroides caccae
Succinate	Production (export)	Bacteroides cellulosilyticus
Succinate	Production (export)	Bacteroides coprocola
Succinate	Production (export)	Bacteroides coprophilus
Succinate	Production (export)	Bacteroides dorei
Succinate	Production (export)	Bacteroides eggerthii
Succinate	Production (export)	Bacteroides finegoldii (Alistipes finegoldii)
Succinate	Production (export)	Bacteroides fragilis
Succinate	Production (export)	Bacteroides helcogenes
Succinate	Production (export)	Bacteroides intestinalis
Succinate	Production (export)	Bacteroides ovatus
Succinate	Production (export)	Bacteroides pectinophilus
Succinate	Production (export)	Bacteroides plebeius
Succinate	Production (export)	Bacteroides salanitronis
Succinate	Production (export)	Bacteroides stercoris
Succinate	Production (export)	Bacteroides thetaiotaomicron
Succinate	Production (export)	Bacteroides uniformis
Succinate	Production (export)	Bacteroides vulgatus
Succinate	Production (export)	Bacteroides xylanisolvens
Succinate	Production (export)	Bifidobacterium adolescentis
Succinate	Production (export)	Bifidobacterium angulatum
Succinate	Production (export)	Bifidobacterium animalis
Succinate	Production (export)	Bifidobacterium bifidum
Succinate	Production (export)	Bifidobacterium breve
Succinate	Production (export)	Bifidobacterium catenulatum
Succinate	Production (export)	Bifidobacterium dentium
Succinate	Production (export)	Bifidobacterium gallicum
Succinate	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Succinate	Production (export)	Bifidobacterium pseudocatenulatum
Succinate	Consumption (import)	Bilophila wadsworthia
Succinate	Production (export)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
Succinate	Production (export)	Clostridium acetobutylicum
Succinate	Production (export)	Clostridium beijerinckii
Succinate	Consumption (import)	Clostridium kluyveri
Succinate	Production (export)	Clostridium perfringens
Succinate	Consumption (import)	Colonocyte (host colon)
Succinate	Consumption (import)	Corynebacterium glutamicum
Succinate	Consumption (import)	Desulfobulbus propionicus
Succinate	Consumption (import)	Desulfovibrio aespoeensis
Succinate	Consumption (import)	Desulfovibrio desulfuricans
Succinate	Consumption (import)	Desulfovibrio fructosovorans
Succinate	Consumption (import)	Desulfovibrio magneticus
Succinate	Consumption (import)	Desulfovibrio piger
Succinate	Consumption (import)	Desulfovibrio salexigens
Succinate	Consumption (import)	Desulfovibrio vulgaris
Succinate	Consumption (import)	Ensifer meliloti (Sinorhizobium meliloti)
Succinate	Production (export)	Escherichia albertii
Succinate	Consumption (import) & production (export)	Escherichia coli
Succinate	Production (export)	Escherichia fergusonii
Succinate	Production (export)	Eubacterium siraeum
Succinate	Production (export)	Fibrobacter succinogenes (Bacteroides succinogenes)
Succinate	Production (export)	Geobacter sulfurreducens
Succinate	Production (export)	Holdemania filiformis
Succinate	Consumption (import)	Klebsiella pneumoniae
Succinate	Production (export)	Lactobacillus plantarum
Succinate	Production (export)	Marvinbryantia formatexigens
Succinate	Production (export)	Megamonas hypermegale
Succinate	Production (export)	Odoribacter splanchnicus
Succinate	Production (export)	Parabacteroides johnsonii
Succinate	Production (export)	Parabacteroides merdae
Succinate	Production (export)	Pelotomaculum thermopropionicum
Succinate	Production (export)	Prevotella amnii
Succinate	Production (export)	Prevotella bergensis
Succinate	Production (export)	Prevotella bivia
Succinate	Production (export)	Prevotella bryantii
Succinate	Production (export)	Prevotella buccae
Succinate	Production (export)	Prevotella buccalis
Succinate	Production (export)	Prevotella copri
Succinate	Production (export)	Prevotella disiens
Succinate	Production (export)	Prevotella marshii
Succinate	Production (export)	Prevotella melaninogenica (Bacteroides melaninogenicus)
Succinate	Production (export)	Prevotella multiformis
Succinate	Production (export)	Prevotella oralis
Succinate	Production (export)	Prevotella oris
Succinate	Production (export)	Prevotella ruminicola (Bacteroides ruminicola)
Succinate	Production (export)	Prevotella salivae
Succinate	Production (export)	Prevotella tannerae
Succinate	Production (export)	Prevotella timonensis
Succinate	Production (export)	Prevotella veroralis
Succinate	Production (export)	Pseudoflavonifractor capillosus
Succinate	Consumption (import)	Pseudomonas aeruginosa
Succinate	Production (export)	Pyramidobacter piscolens
Succinate	Consumption (import)	Rhizobium leguminosarum
Succinate	Consumption (import)	Rhodobacter capsulatus
Succinate	Production (export)	Ruminococcus bromii
Succinate	Production (export)	Ruminococcus flavefaciens
Succinate	Production (export)	Subdoligranulum variabile
Succinate	Consumption (import)	Veillonella parvula
Succinate	Production (export)	Wolinella succinogenes
Succinate	Consumption (import)	Xanthomonas campestris
Sucrose	Consumption (import)	Bacillus subtilis
Sucrose	Consumption (import)	Bacteroides xylanisolvens
Sucrose	Consumption (import)	Bifidobacterium breve
Sucrose	Consumption (import)	Butyrivibrio fibrisolvens
Sucrose	Consumption (import)	Butyrivibrio proteoclasticus
Sucrose	Consumption (import)	Catenibacterium mitsuokai
Sucrose	Consumption (import)	Clostridium acetobutylicum
Sucrose	Consumption (import)	Clostridium beijerinckii
Sucrose	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)
Sucrose	Consumption (import)	Coprococcus comes
Sucrose	Consumption (import)	Coprococcus eutactus
Sucrose	Consumption (import)	Desulfovibrio piger
Sucrose	Consumption (import)	Dorea longicatena
Sucrose	Consumption (import)	Eubacterium rectale
Sucrose	Consumption (import)	Fusobacterium mortiferum
Sucrose	Consumption (import)	Holdemania filiformis
Sucrose	Consumption (import)	Klebsiella pneumoniae
Sucrose	Consumption (import)	Lactobacillus casei
Sucrose	Consumption (import)	Leptotrichia buccalis
Sucrose	Consumption (import)	Marvinbryantia formatexigens
Sucrose	Consumption (import)	Parabacteroides distasonis
Sucrose	Consumption (import)	Parabacteroides merdae
Sucrose	Consumption (import)	Prevotella copri
Sucrose	Consumption (import)	Roseburia intestinalis
Sucrose	Consumption (import)	Streptococcus bovis (Streptococcus equinus)
Sucrose	Consumption (import)	Streptococcus mutans
Sucrose	Consumption (import)	Subdoligranulum variabile
Sucrose	Consumption (import)	Sulfolobus solfataricus
Sucrose	Consumption (import)	Xanthomonas campestris
Sulfate (Sulfuric acid)	Production (export)	Acidithiobacillus caldus
Sulfate (Sulfuric acid)	Production (export)	Allochromatium vinosum
Sulfate (Sulfuric acid)	Production (export)	Aquifex aeolicus
Sulfate (Sulfuric acid)	Consumption (import)	Archaeoglobus fulgidus
Sulfate (Sulfuric acid)	Consumption (import)	Archaeoglobus profundus
Sulfate (Sulfuric acid)	Consumption (import)	Baumannia cicadellinicola
Sulfate (Sulfuric acid)	Consumption (import)	Bilophila wadsworthia
Sulfate (Sulfuric acid)	Consumption (import)	Buchnera aphidicola
Sulfate (Sulfuric acid)	Consumption (import)	Caldivirga maquilingensis
Sulfate (Sulfuric acid)	Production (export)	Chlorobium chlorochromatii
Sulfate (Sulfuric acid)	Production (export)	Chlorobium ferrooxidans
Sulfate (Sulfuric acid)	Production (export)	Chlorobium limicola
Sulfate (Sulfuric acid)	Production (export)	Chlorobium phaeobacteroides
Sulfate (Sulfuric acid)	Production (export)	Chlorobium vibrioformis
Sulfate (Sulfuric acid)	Consumption (import)	Colonocyte (host colon)
Sulfate (Sulfuric acid)	Consumption (import)	Deinococcus radiodurans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfarculus baarsii
Sulfate (Sulfuric acid)	Consumption (import)	Desulfatibacillum alkenivorans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfobacterium autotrophicum
Sulfate (Sulfuric acid)	Consumption (import)	Desulfobulbus propionicus
Sulfate (Sulfuric acid)	Consumption (import)	Desulfococcus oleovorans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfohalobium retbaense
Sulfate (Sulfuric acid)	Consumption (import)	Desulfomicrobium baculatum
Sulfate (Sulfuric acid)	Consumption (import)	Desulfonatronospira thiodismutans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfotalea psychrophila
Sulfate (Sulfuric acid)	Consumption (import)	Desulfotomaculum acetoxidans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfotomaculum nigrificans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfotomaculum reducens
Sulfate (Sulfuric acid)	Consumption (import)	Desulfovibrio aespoeensis
Sulfate (Sulfuric acid)	Consumption (import)	Desulfovibrio desulfuricans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfovibrio fructosovorans
Sulfate (Sulfuric acid)	Consumption (import)	Desulfovibrio magneticus
Sulfate (Sulfuric acid)	Consumption (import)	Desulfovibrio piger
Sulfate (Sulfuric acid)	Consumption (import)	Desulfovibrio salexigens
Sulfate (Sulfuric acid)	Consumption (import)	Desulfovibrio vulgaris
Sulfate (Sulfuric acid)	Consumption (import)	Escherichia coli
Sulfate (Sulfuric acid)	Consumption (import)	Methanosarcina acetivorans
Sulfate (Sulfuric acid)	Consumption (import)	Methanosarcina barkeri
Sulfate (Sulfuric acid)	Consumption (import)	Methanosarcina mazei
Sulfate (Sulfuric acid)	Production (export)	Methylobacterium extorquens (Methylobacterium chloromethanicum)
Sulfate (Sulfuric acid)	Production (export)	Paracoccus denitrificans
Sulfate (Sulfuric acid)	Consumption (import)	Pyramidobacter piscolens
Sulfate (Sulfuric acid)	Production (export)	Rhodobacter capsulatus
Sulfate (Sulfuric acid)	Production (export)	Rhodobacter sphaeroides
Sulfate (Sulfuric acid)	Production (export)	Rhodopseudomonas palustris
Sulfate (Sulfuric acid)	Consumption (import)	Ruminococcus bromii
Sulfate (Sulfuric acid)	Production (export)	Starkeya novella
Sulfate (Sulfuric acid)	Production (export)	Sulfolobus acidocaldarius
Sulfate (Sulfuric acid)	Production (export)	Sulfolobus islandicus
Sulfate (Sulfuric acid)	Production (export)	Sulfolobus solfataricus
Sulfate (Sulfuric acid)	Production (export)	Sulfolobus tokodaii
Sulfate (Sulfuric acid)	Consumption (import)	Syntrophobacter fumaroxidans
Sulfate (Sulfuric acid)	Consumption (import)	Thermodesulfovibrio yellowstonii
Sulfate (Sulfuric acid)	Production (export)	Thiobacillus denitrificans
Sulfate (Sulfuric acid)	Production (export)	Thiomicrospira crunogena
Sulfate (Sulfuric acid)	Production (export)	Wolinella succinogenes
Sulfate (Sulfuric acid)	Production (export)	Xanthobacter autotrophicus
Sulfur (Elemental sulfur)	Consumption (import)	Acidithiobacillus caldus
Sulfur (Elemental sulfur)	Consumption (import)	Allochromatium vinosum
Sulfur (Elemental sulfur)	Consumption (import)	Aquifex aeolicus
Sulfur (Elemental sulfur)	Consumption (import)	Chlorobium chlorochromatii
Sulfur (Elemental sulfur)	Consumption (import)	Chlorobium ferrooxidans
Sulfur (Elemental sulfur)	Consumption (import)	Chlorobium limicola
Sulfur (Elemental sulfur)	Consumption (import)	Chlorobium phaeobacteroides
Sulfur (Elemental sulfur)	Consumption (import)	Chlorobium vibrioformis
Sulfur (Elemental sulfur)	Consumption (import)	Methylobacterium extorquens (Methylobacterium chloromethanicum)
Sulfur (Elemental sulfur)	Consumption (import)	Paracoccus denitrificans
Sulfur (Elemental sulfur)	Consumption (import)	Rhodobacter capsulatus
Sulfur (Elemental sulfur)	Consumption (import)	Rhodobacter sphaeroides
Sulfur (Elemental sulfur)	Consumption (import)	Rhodopseudomonas palustris
Sulfur (Elemental sulfur)	Consumption (import)	Starkeya novella
Sulfur (Elemental sulfur)	Consumption (import)	Sulfolobus acidocaldarius
Sulfur (Elemental sulfur)	Consumption (import)	Sulfolobus islandicus
Sulfur (Elemental sulfur)	Consumption (import)	Sulfolobus solfataricus
Sulfur (Elemental sulfur)	Consumption (import)	Sulfolobus tokodaii
